date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:10	36/36	---M--	200	added ('OK')	text/plain	etag:%22b25366-24-23201140%22	http://cse.csusb.edu/robots.txt		(from )
07:57:11	17172/17172	---M--	200	added ('OK')	text/html	etag:%22430596-4314-5d077880%22	http://cse.csusb.edu/kay/cs330/	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/index.html	(from )
07:57:11	1617/1617	---M--	200	added ('OK')	text/plain	etag:%2243058a-651-51e68300%22	http://cse.csusb.edu/kay/cs330/hash_simple.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/hash_simple.cpp	(from )
07:57:12	2315/2315	---M--	200	added ('OK')	text/plain	etag:%22430509-90b-515d2ec0%22	http://cse.csusb.edu/kay/cs330/hash1.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/hash1.cpp	(from )
07:57:12	812/812	---M--	200	added ('OK')	text/plain	etag:%2243051f-32c-561e0840%22	http://cse.csusb.edu/kay/cs330/mergeSort1.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/mergeSort1.cpp	(from )
07:57:12	1123/1123	---M--	200	added ('OK')	text/plain	etag:%22430525-463-561e0840%22	http://cse.csusb.edu/kay/cs330/mergeSort2.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/mergeSort2.cpp	(from )
07:57:13	1451/1451	---M--	200	added ('OK')	text/plain	etag:%22430528-5ab-561e0840%22	http://cse.csusb.edu/kay/cs330/mergeSort3.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/mergeSort3.cpp	(from )
07:57:13	884/884	---M--	200	added ('OK')	text/plain	etag:%2243058d-374-b5304cc0%22	http://cse.csusb.edu/kay/cs330/binarySearchSeq.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/binarySearchSeq.cpp	(from )
07:57:13	1010/1010	---M--	200	added ('OK')	text/plain	etag:%22430588-3f2-b5304cc0%22	http://cse.csusb.edu/kay/cs330/binarySearchRec.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/binarySearchRec.cpp	(from )
07:57:14	6103/6103	---M--	200	added ('OK')	text/plain	etag:%22430522-17d7-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war.post	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war.post	(from )
07:57:14	321/321	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Mar%202012%2014:45:07%20GMT	http://cse.csusb.edu/kay/cs330/war	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war.b.delayed	(from )
07:57:15	8230/8230	---M--	200	added ('OK')	text/plain	etag:%22430523-2026-b0b2edc0%22	http://cse.csusb.edu/kay/cs330/war1.post	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war1.post	(from )
07:57:15	8522/8522	---M--	200	added ('OK')	text/plain	etag:%22430520-214a-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war2.post	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war2.post	(from )
07:57:15	2246/2246	---M--	200	added ('OK')	text/plain	etag:%22430511-8c6-5c95b800%22	http://cse.csusb.edu/kay/cs330/mod.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/mod.cpp	(from )
07:57:15	1162/1162	---M--	200	added ('OK')	text/plain	etag:%2243052e-48a-624adbc0%22	http://cse.csusb.edu/kay/cs330/variance1.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/variance1.cpp	(from )
07:57:16	1074/1074	---M--	200	added ('OK')	text/plain	etag:%22430513-432-21cc5980%22	http://cse.csusb.edu/kay/cs330/variance3.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/variance3.cpp	(from )
07:57:16	938/938	---M--	200	added ('OK')	text/html	etag:%22430510-3aa-8eb36500%22	http://cse.csusb.edu/kay/cs330/format.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/format.html	(from )
07:57:16	2174/2174	---M--	200	added ('OK')	text/html	etag:%22430530-87e-883ba00%22	http://cse.csusb.edu/kay/cs330/lab1.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab1.html	(from )
07:57:16	2905/2905	---M--	200	added ('OK')	text/html	etag:%2243050c-b59-1ad02cc0%22	http://cse.csusb.edu/kay/cs330/lab2.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab2.html	(from )
07:57:17	2521/2521	---M--	200	added ('OK')	text/html	etag:%22430594-9d9-84feff80%22	http://cse.csusb.edu/kay/cs330/lab3.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab3.html	(from )
07:57:17	18812/18812	---M--	200	added ('OK')	image/gif	etag:%22430521-497c-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war.gif	(from )
07:57:17	4516/4516	---M--	200	added ('OK')	text/html	etag:%22430505-11a4-b2985780%22	http://cse.csusb.edu/kay/cs330/lab4.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab4.html	(from )
07:57:17	5537/5537	---M--	200	added ('OK')	text/html	etag:%22430506-15a1-945cfac0%22	http://cse.csusb.edu/kay/cs330/lab5.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab5.html	(from )
07:57:18	2833/2833	---M--	200	added ('OK')	text/html	etag:%22430507-b11-94b88840%22	http://cse.csusb.edu/kay/cs330/lab6.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab6.html	(from )
07:57:18	3912/3912	---M--	200	added ('OK')	text/html	etag:%22430591-f48-78d6c800%22	http://cse.csusb.edu/kay/cs330/lab7.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab7.html	(from )
07:57:18	5904/5904	---M--	200	added ('OK')	text/html	etag:%22430590-1710-87341280%22	http://cse.csusb.edu/kay/cs330/lab8.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab8.html	(from )
07:57:18	2660/2660	---M--	200	added ('OK')	text/html	etag:%2243058e-a64-d9382a80%22	http://cse.csusb.edu/kay/cs330/lab9.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab9.html	(from )
07:57:19	2978/2978	---M--	200	added ('OK')	text/html	etag:%2243052a-ba2-a2801940%22	http://cse.csusb.edu/kay/cs330/lab10.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/lab10.html	(from )
07:57:25	89634/89634	---M--	200	added ('OK')	application/pdf	etag:%224304e0-15e22-a9601200%22	http://cse.csusb.edu/kay/cs330/syllabus330.pdf	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/syllabus330.pdf	(from )
07:57:26	172712/172712	---M--	200	added ('OK')	application/pdf	etag:%2243058c-2a2a8-54352b80%22	http://cse.csusb.edu/kay/cs330/roster330post.pdf	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/roster330post.pdf	(from )
07:57:26	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:19%20GMT	http://cse.csusb.edu/kay/cs330/war/	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/index.html	(from http://cse.csusb.edu/kay/cs330/)
07:57:26	148/148	---M--	200	added ('OK')	image/gif	etag:%227c6114-94-4c23b600%22	http://cse.csusb.edu/icons/blank.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/blank.gif	(from http://cse.csusb.edu/kay/cs330/)
07:57:26	216/216	---M--	200	added ('OK')	image/gif	etag:%227c610a-d8-4c23b600%22	http://cse.csusb.edu/icons/back.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/back.gif	(from http://cse.csusb.edu/kay/cs330/)
07:57:27	229/229	---M--	200	added ('OK')	image/gif	etag:%227c61cd-e5-4c23b600%22	http://cse.csusb.edu/icons/text.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/text.gif	(from http://cse.csusb.edu/kay/cs330/)
07:57:27	1370/1370	---M--	200	added ('OK')	text/plain	etag:%22430504-55a-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Card.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Card.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:27	1097/1097	---M--	200	added ('OK')	text/plain	etag:%22430514-449-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Card.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Card.h	(from http://cse.csusb.edu/kay/cs330/)
07:57:27	1124/1124	---M--	200	added ('OK')	text/plain	etag:%22430515-464-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Deck.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Deck.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:28	788/788	---M--	200	added ('OK')	text/plain	etag:%22430516-314-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Deck.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Deck.h	(from http://cse.csusb.edu/kay/cs330/)
07:57:28	1272/1272	---M--	200	added ('OK')	text/plain	etag:%22430517-4f8-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/HumanPlayer.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/HumanPlayer.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:28	757/757	---M--	200	added ('OK')	text/plain	etag:%22430518-2f5-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/HumanPlayer.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/HumanPlayer.h	(from http://cse.csusb.edu/kay/cs330/)
07:57:28	828/828	---M--	200	added ('OK')	text/plain	etag:%22430519-33c-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Player.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Player.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:29	943/943	---M--	200	added ('OK')	text/plain	etag:%2243051a-3af-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Player.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Player.h	(from http://cse.csusb.edu/kay/cs330/)
07:57:29	1061/1061	---M--	200	added ('OK')	text/plain	etag:%2243051b-425-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Random.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Random.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:29	582/582	---M--	200	added ('OK')	text/plain	etag:%2243051c-246-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Random.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Random.h	(from http://cse.csusb.edu/kay/cs330/)
07:57:29	3764/3764	---M--	200	added ('OK')	text/plain	etag:%2243051d-eb4-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/war3.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/war3.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:30	245/245	---M--	200	added ('OK')	image/gif	etag:%227c61d1-f5-4c23b600%22	http://cse.csusb.edu/icons/unknown.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/unknown.gif	(from http://cse.csusb.edu/kay/cs330/)
07:57:30	569/569	---M--	200	added ('OK')	text/plain	etag:%2243051e-239-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/war3.make	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/war3.make	(from http://cse.csusb.edu/kay/cs330/)
07:57:30	7455/7455	---M--	200	added ('OK')	text/html	etag:%2243050d-1d1f-66d343c0%22	http://cse.csusb.edu/kay/cs330/complexity.html	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/complexity.html	(from http://cse.csusb.edu/kay/cs330/)
07:57:31	987/987	---M--	200	added ('OK')	text/plain	etag:%2243050e-3db-7db6a3c0%22	http://cse.csusb.edu/kay/cs330/capsize.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/capsize.cpp	(from http://cse.csusb.edu/kay/cs330/)
07:57:31	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:24%20GMT	http://cse.csusb.edu/icons/blank.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/blank.gif	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:31	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:25%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=N;O=D	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/indexc052.html	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:32	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:25%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=M;O=A	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/indexf8a0.html	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:32	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:25%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=S;O=A	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/indexbfec.html	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:32	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:26%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=D;O=A	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/index30b5.html	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:33	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:26%20GMT	http://cse.csusb.edu/icons/text.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/text.gif	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:33	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:26%20GMT	http://cse.csusb.edu/kay/cs330/war/Deck.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Deck.h	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:33	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:27%20GMT	http://cse.csusb.edu/kay/cs330/war/Player.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Player.h	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:34	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:27%20GMT	http://cse.csusb.edu/icons/unknown.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/unknown.gif	(from http://cse.csusb.edu/kay/cs330/war/)
07:57:34	392/392	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202012%2014:45:27%20GMT	http://cse.csusb.edu/kay/cs330/capsize.cpp	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/capsize.cpp	(from http://cse.csusb.edu/kay/cs330/lab4.html)
07:57:34	148/148	---M--	200	added ('OK')	image/gif	etag:%227c6114-94-4c23b600%22	http://cse.csusb.edu/icons/blank.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/blank.gif	(from )
07:57:35	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:28%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=N;O=A	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/indexb70a.html	(from http://cse.csusb.edu/kay/cs330/war/?C=N;O=D)
07:57:35	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:28%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=M;O=D	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/index72c9.html	(from http://cse.csusb.edu/kay/cs330/war/?C=M;O=A)
07:57:35	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:28%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=S;O=D	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/index5851.html	(from http://cse.csusb.edu/kay/cs330/war/?C=S;O=A)
07:57:36	2907/2907	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Mar%202012%2014:45:29%20GMT	http://cse.csusb.edu/kay/cs330/war/?C=D;O=D	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/indexad3f.html	(from http://cse.csusb.edu/kay/cs330/war/?C=D;O=A)
07:57:36	229/229	---M--	200	added ('OK')	image/gif	etag:%227c61cd-e5-4c23b600%22	http://cse.csusb.edu/icons/text.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/text.gif	(from )
07:57:36	788/788	---M--	200	added ('OK')	text/plain	etag:%22430516-314-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Deck.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Deck.h	(from )
07:57:37	943/943	---M--	200	added ('OK')	text/plain	etag:%2243051a-3af-a3c3c580%22	http://cse.csusb.edu/kay/cs330/war/Player.h	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/kay/cs330/war/Player.h	(from )
07:57:37	245/245	---M--	200	added ('OK')	image/gif	etag:%227c61d1-f5-4c23b600%22	http://cse.csusb.edu/icons/unknown.gif	C:/My%20Web%20Sites/CSE330%20Final/cse.csusb.edu/icons/unknown.gif	(from )
