SQL> select *
  2  from takes_course;

STUDENT_NUMBER  COURSE_NUMBER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
--------------- ---------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
600001          CSE455                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600001          CSE572                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600002          CSE330                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600002          CSE488                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600003          CSE202                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600003          CSE488                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600004          CSE350                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600004          CSE460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600005          CSE460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600005          CSE580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600006          CSE488                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600006          Comm311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
600007          CSE330                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600007          CSE572                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600008          CSE350                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600008          Comm311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
600009          CSE350                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600009          CSE460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600010          CSE455                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600010          CSE580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600011          CSE460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600011          CSE580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600012          CSE330                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600012          Comm311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
600013          CSE488                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600013          CSE580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
600014          CSE201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              

27 rows selected.

SQL> spool off
