CSE572/Database Systems/PS110/Josephine Mendoza/Computer Science
CSE330/Data Structures/JB359/Kay Zemoedeh/Computer Science
CSE201/Computer Science I/JB358/Richard Botting/Computer Science
CSE202/Computer Science II/JB360/Richard Botting/Computer Science
CSE455/Software Engineering/JB120/Arturo Concepcion/Computer Science
CSE488/Ethics/UH120/Yasha Karant/Computer Science
CSE350/File Systems/UH220/Owen Murphy/Computer Science
Comm311/Business Communications/UH350/Yasha Karant/Communication
CSE460/Operation Systems/JB114/Kay Zemoudeh/Computer Science
CSE580/Advanced Databases/JB220/Josephine Mendoza/Computer Science
